order_id,restaurant,cuisine,city,order_time,prep_time_min,delivery_time_min,delivery_distance_km,price,discount_percent,final_amount,rating,payment_method,is_first_order,delivery_partner_id
200020,Café Aroma,North Indian,Pune,2/29/2024 7:39,10,45,0.52,311,20,248.8,3,Wallet,0,180
200021,South Spice,Chinese,Chennai,2/28/2024 8:17,38,75,12.04,169,20,135.2,5,Wallet,1,723
200022,Café Aroma,South Indian,Kolkata,3/9/2024 22:00,14,40,13.31,388,15,329.8,5,Card,1,912
200023,GrillMaster,Biryani,Pune,1/8/2024 2:33,43,76,3.97,396,30,277.2,3,UPI,1,359
200024,Biryani Express,Chinese,Chennai,2/23/2024 20:53,40,80,4.62,176,10,158.4,5,COD,0,813
200025,Biryani Express,South Indian,Delhi,4/9/2024 13:26,32,46,11.29,899,10,809.1,1,UPI,0,619
200026,Tandoori Palace,South Indian,Pune,2/27/2024 22:36,30,64,8.23,279,15,237.15,2,Card,1,989
200027,HealthyBowl,Japanese,Hyderabad,3/28/2024 22:06,27,56,14.95,861,0,861,1,Card,1,282
200028,Biryani Express,Italian,Kolkata,3/30/2024 15:51,39,72,3.66,500,20,400,3,Wallet,1,432
200029,Biryani Express,Fast Food,Mumbai,2/6/2024 14:24,29,60,5.17,269,5,255.55,1,Card,1,567
200030,BurgerVilla,North Indian,Chennai,4/15/2024 8:52,38,49,3.95,329,30,230.3,1,Card,0,457
200031,South Spice,Fast Food,Hyderabad,1/6/2024 8:15,31,41,8.93,725,40,435,1,UPI,1,699
200032,HealthyBowl,Fast Food,Delhi,3/10/2024 0:31,33,60,12.17,410,5,389.5,1,Card,1,279
200033,Café Aroma,Fast Food,Mumbai,1/17/2024 5:48,30,67,8.51,788,40,472.8,3,UPI,0,440
200034,Urban Thali,South Indian,Delhi,1/13/2024 10:57,25,35,14.66,278,20,222.4,2,COD,0,604
200035,PastaFiesta,Chinese,Kolkata,1/26/2024 15:25,26,50,11.65,234,20,187.2,2,COD,1,596
200036,South Spice,South Indian,Delhi,4/3/2024 23:25,22,54,10.61,609,0,609,1,COD,0,513
200037,Biryani Express,South Indian,Bangalore,2/9/2024 0:41,17,38,10.07,667,15,566.95,4,Wallet,0,335
200038,Café Aroma,Biryani,Mumbai,3/22/2024 3:37,19,51,6.05,748,40,448.8,2,COD,0,786
200039,Tandoori Palace,Italian,Mumbai,1/29/2024 14:26,32,57,12.12,282,5,267.9,5,UPI,0,701
200040,BurgerVilla,North Indian,Kolkata,2/3/2024 11:13,37,62,6.57,886,10,797.4,1,COD,0,850
200041,Urban Thali,North Indian,Delhi,2/15/2024 18:40,26,56,6.94,354,10,318.6,1,UPI,0,253
200042,PastaFiesta,Japanese,Hyderabad,3/11/2024 12:44,41,65,14.96,704,30,492.8,5,COD,0,452
200043,South Spice,North Indian,Delhi,4/1/2024 17:44,19,38,13.94,201,15,170.85,5,UPI,0,979
200044,BurgerVilla,Italian,Delhi,4/5/2024 10:20,31,47,7.92,130,0,130,5,Card,0,280
200045,WrapWorld,North Indian,Hyderabad,4/17/2024 5:30,24,61,5.45,825,15,701.25,1,COD,1,265
200046,ChowTown,Fast Food,Hyderabad,2/29/2024 18:03,15,48,4.9,788,10,709.2,2,COD,0,423
200047,HealthyBowl,South Indian,Bangalore,4/26/2024 13:57,20,34,3.42,690,20,552,3,Wallet,0,484
200048,Tandoori Palace,Italian,Pune,2/17/2024 7:43,15,34,7.81,708,0,708,5,COD,1,423
200049,SpiceHub,Chinese,Bangalore,4/26/2024 13:34,31,71,14.41,327,5,310.65,1,COD,0,281
200050,South Spice,Chinese,Kolkata,2/11/2024 5:04,20,46,7.97,522,0,522,4,COD,0,828
200051,Café Aroma,Healthy,Chennai,4/14/2024 9:28,38,69,5.25,758,10,682.2,3,UPI,1,729
200052,The Wok House,Chinese,Chennai,2/27/2024 18:24,41,53,1.88,225,30,157.5,3,Card,0,129
200053,South Spice,Biryani,Bangalore,1/10/2024 7:57,42,71,2.6,184,15,156.4,5,COD,1,434
200054,PizzaBox,Biryani,Hyderabad,2/25/2024 9:37,32,43,10.23,278,20,222.4,1,COD,1,237
200055,South Spice,North Indian,Kolkata,2/17/2024 14:18,23,57,12.88,698,20,558.4,2,COD,1,608
200056,Tandoori Palace,Chinese,Delhi,1/28/2024 22:13,26,56,14.99,400,20,320,2,Wallet,1,839
200057,ChowTown,Fast Food,Delhi,2/23/2024 9:18,29,43,3.05,686,10,617.4,2,Wallet,1,386
200058,SushiZone,Biryani,Hyderabad,4/29/2024 10:53,24,46,9.13,164,10,147.6,5,Card,0,255
200059,Biryani Express,Fast Food,Delhi,4/15/2024 14:37,27,59,7.5,623,5,591.85,5,Wallet,0,408
200060,South Spice,Japanese,Mumbai,1/23/2024 1:43,45,71,1.77,373,40,223.8,3,UPI,1,756
200061,ChowTown,Japanese,Pune,4/18/2024 1:35,24,58,7.58,571,10,513.9,3,COD,1,247
200062,Urban Thali,Japanese,Pune,1/14/2024 13:29,24,58,11.34,317,0,317,5,UPI,0,540
200063,SpiceHub,Fast Food,Bangalore,4/1/2024 12:42,18,50,7.95,394,40,236.4,5,Wallet,0,824
200064,PizzaBox,North Indian,Pune,4/8/2024 8:20,21,49,6.96,872,20,697.6,1,UPI,0,933
200065,SpiceHub,Chinese,Kolkata,4/1/2024 4:40,20,47,1.77,648,20,518.4,5,UPI,0,832
200066,Biryani Express,Chinese,Bangalore,2/9/2024 4:13,18,57,6.97,246,20,196.8,5,COD,0,733
200067,Biryani Express,Fast Food,Hyderabad,3/10/2024 8:32,39,66,5.75,702,20,561.6,1,Wallet,0,727
200068,SpiceHub,North Indian,Kolkata,1/12/2024 22:38,11,47,11.48,158,20,126.4,4,COD,1,381
200069,The Wok House,South Indian,Mumbai,2/1/2024 9:24,43,54,12.1,815,0,815,2,COD,1,364
200070,ChowTown,Healthy,Delhi,4/28/2024 0:34,25,54,8.5,525,15,446.25,5,Wallet,0,566
200071,HealthyBowl,Biryani,Mumbai,3/31/2024 20:16,38,51,2.03,451,0,451,1,COD,1,174
200072,ChowTown,Italian,Chennai,1/17/2024 10:16,38,63,13.95,746,5,708.7,2,COD,1,205
200073,PizzaBox,Healthy,Pune,1/22/2024 4:28,35,66,2.9,899,5,854.05,2,UPI,0,417
200074,PastaFiesta,Biryani,Pune,1/22/2024 7:21,29,48,14.07,683,0,683,2,Card,1,581
200075,Tandoori Palace,North Indian,Bangalore,4/4/2024 7:59,17,36,5.01,248,40,148.8,1,COD,1,512
200076,SushiZone,South Indian,Chennai,3/16/2024 16:18,17,28,2.38,535,30,374.5,4,Wallet,0,139
200077,Tandoori Palace,Biryani,Pune,1/31/2024 15:04,38,66,4.27,776,15,659.6,3,Wallet,0,303
200078,PizzaBox,South Indian,Pune,1/21/2024 9:42,26,46,2.69,188,20,150.4,1,UPI,1,364
200079,WrapWorld,North Indian,Delhi,3/6/2024 17:49,18,41,12.16,499,40,299.4,1,Card,1,701
200080,HealthyBowl,North Indian,Hyderabad,4/4/2024 4:52,35,61,10.58,578,10,520.2,3,COD,0,117
200081,Biryani Express,Healthy,Delhi,4/20/2024 11:04,10,42,13.19,259,15,220.15,4,Card,0,843
200082,Tandoori Palace,Biryani,Bangalore,3/26/2024 16:18,20,31,6.7,893,5,848.35,3,Card,1,749
200083,WrapWorld,Japanese,Kolkata,2/7/2024 6:35,11,45,8.69,269,0,269,3,Card,1,841
200084,BurgerVilla,South Indian,Mumbai,2/21/2024 15:45,43,69,14.46,506,30,354.2,5,COD,1,439
200085,Café Aroma,Fast Food,Chennai,2/22/2024 7:52,23,60,2.6,335,40,201,3,COD,0,491
200086,Café Aroma,Biryani,Kolkata,1/15/2024 7:28,22,55,2.42,534,10,480.6,4,Wallet,0,265
200087,Biryani Express,Chinese,Bangalore,2/6/2024 6:08,27,37,1.45,457,5,434.15,1,UPI,1,412
200088,BurgerVilla,North Indian,Pune,3/8/2024 11:11,10,47,6.43,160,30,112,4,Card,1,864
200089,SpiceHub,Japanese,Mumbai,2/14/2024 18:23,26,42,9.05,356,15,302.6,2,Card,0,411
200090,PizzaBox,Fast Food,Pune,3/17/2024 0:36,23,59,3.53,747,40,448.2,1,COD,0,938
200091,South Spice,South Indian,Hyderabad,1/1/2024 21:36,43,61,6.18,422,20,337.6,4,Card,1,773
200092,Biryani Express,South Indian,Pune,1/3/2024 4:16,21,56,1.4,485,0,485,4,Wallet,0,864
200093,GrillMaster,Biryani,Hyderabad,2/27/2024 10:14,18,34,13.62,875,10,787.5,3,Card,1,225
200094,SushiZone,Chinese,Chennai,3/11/2024 21:17,17,46,5.23,638,5,606.1,1,Wallet,0,883
200095,PastaFiesta,Biryani,Hyderabad,1/31/2024 12:50,25,46,13.14,721,40,432.6,5,COD,0,418
200096,Tandoori Palace,Healthy,Hyderabad,4/3/2024 2:40,37,54,5.61,198,0,198,5,UPI,0,115
200097,HealthyBowl,Biryani,Pune,4/4/2024 16:45,29,69,9.31,422,20,337.6,3,COD,0,853
200098,ChowTown,Healthy,Hyderabad,3/26/2024 0:26,39,50,3.31,594,30,415.8,5,COD,1,686
200099,GrillMaster,Healthy,Delhi,2/2/2024 15:15,24,50,8.01,562,10,505.8,3,Wallet,0,116
200100,HealthyBowl,Chinese,Bangalore,1/19/2024 9:49,12,41,10.63,900,10,810,2,Wallet,0,765
200101,HealthyBowl,Italian,Pune,3/4/2024 13:49,42,52,7.96,394,0,394,3,COD,1,805
200102,SushiZone,Biryani,Kolkata,1/26/2024 22:49,14,44,3.35,277,5,263.15,2,Wallet,1,619
200103,The Wok House,South Indian,Hyderabad,4/5/2024 20:12,38,55,13.59,614,30,429.8,5,Card,1,482
200104,SushiZone,Italian,Delhi,3/12/2024 17:25,17,46,14.18,625,40,375,1,UPI,1,495
200105,South Spice,North Indian,Hyderabad,4/29/2024 10:00,34,51,12.63,519,40,311.4,4,Card,0,715
200106,HealthyBowl,South Indian,Hyderabad,1/18/2024 14:34,10,50,12.96,552,5,524.4,5,UPI,1,823
200107,PizzaBox,South Indian,Pune,1/13/2024 5:25,20,52,12.95,456,15,387.6,4,Card,1,769
200108,BurgerVilla,South Indian,Pune,3/20/2024 9:06,12,42,9.27,126,5,119.7,3,Card,1,238
200109,Urban Thali,Chinese,Bangalore,1/6/2024 2:41,17,28,9.66,510,30,357,4,Card,1,749
200110,GrillMaster,Healthy,Chennai,3/20/2024 18:16,31,65,10.04,701,20,560.8,2,Card,0,812
200111,GrillMaster,Japanese,Chennai,2/11/2024 10:41,20,59,2.48,270,0,270,5,Card,0,366
200112,Biryani Express,South Indian,Chennai,4/3/2024 4:52,26,63,1.41,360,0,360,2,Wallet,0,953
200113,PizzaBox,Japanese,Kolkata,4/15/2024 10:22,18,34,7.65,810,30,567,3,Wallet,1,538
200114,GrillMaster,Japanese,Pune,1/23/2024 16:19,31,60,13.61,581,15,493.85,1,Wallet,0,931
200115,BurgerVilla,Healthy,Mumbai,1/19/2024 20:53,33,45,12.34,881,20,704.8,2,UPI,1,437
200116,PastaFiesta,North Indian,Hyderabad,1/27/2024 15:15,30,69,4.43,532,10,478.8,4,Card,1,964
200117,Urban Thali,Healthy,Pune,2/8/2024 15:39,23,61,12.58,790,15,671.5,3,Card,1,205
200118,HealthyBowl,Biryani,Hyderabad,2/27/2024 0:05,24,37,13.22,346,15,294.1,4,Card,1,970
200119,Café Aroma,Italian,Delhi,4/10/2024 21:13,27,46,2.96,714,5,678.3,5,Card,1,554
200120,Urban Thali,Fast Food,Chennai,4/8/2024 6:00,12,42,5.3,775,20,620,1,Wallet,0,799
200121,BurgerVilla,Biryani,Mumbai,1/28/2024 20:12,27,50,7.11,590,40,354,1,Wallet,0,983
200122,Biryani Express,North Indian,Bangalore,2/3/2024 1:01,30,68,13.46,400,10,360,1,Wallet,0,340
200123,ChowTown,North Indian,Delhi,3/8/2024 9:37,41,71,14.56,504,20,403.2,2,UPI,0,592
200124,WrapWorld,South Indian,Mumbai,3/25/2024 16:18,18,40,13.75,687,5,652.65,4,Card,1,680
200125,South Spice,Italian,Hyderabad,2/1/2024 4:01,30,52,0.57,441,5,418.95,1,Wallet,1,357
200126,Biryani Express,North Indian,Hyderabad,1/10/2024 5:12,20,51,8.46,271,5,257.45,2,COD,1,150
200127,SushiZone,North Indian,Bangalore,4/25/2024 20:50,13,46,14.33,262,5,248.9,5,COD,1,487
200128,WrapWorld,Healthy,Bangalore,3/30/2024 4:30,13,48,4.32,775,5,736.25,5,COD,0,706
200129,SpiceHub,Chinese,Hyderabad,3/13/2024 9:08,10,25,4.37,471,20,376.8,5,Wallet,1,904
200130,BurgerVilla,Italian,Pune,4/6/2024 18:46,25,47,7.83,208,15,176.8,1,UPI,1,280
200131,Tandoori Palace,Healthy,Chennai,3/15/2024 22:57,36,66,5.28,681,40,408.6,3,Wallet,1,317
200132,WrapWorld,Fast Food,Delhi,3/29/2024 3:42,11,38,8.43,505,5,479.75,2,COD,1,453
200133,The Wok House,Fast Food,Chennai,4/4/2024 13:37,30,60,7.33,733,40,439.8,2,Wallet,1,522
200134,SpiceHub,Biryani,Chennai,3/23/2024 9:40,20,48,14.87,129,5,122.55,4,Wallet,1,947
200135,PastaFiesta,Italian,Bangalore,4/16/2024 5:05,17,45,5.18,161,5,152.95,4,COD,1,747
200136,ChowTown,Japanese,Kolkata,4/15/2024 21:45,34,60,4.7,492,15,418.2,4,Card,1,525
200137,WrapWorld,North Indian,Kolkata,4/6/2024 2:34,14,50,8.5,898,15,763.3,5,COD,1,562
200138,Café Aroma,Italian,Hyderabad,3/10/2024 20:12,20,35,14.44,887,20,709.6,4,COD,0,529
200139,Tandoori Palace,Fast Food,Pune,1/2/2024 21:39,34,67,12.97,737,20,589.6,2,UPI,0,412
200140,South Spice,Japanese,Pune,2/29/2024 18:32,14,48,11.11,326,40,195.6,5,Card,0,703
200141,Tandoori Palace,Chinese,Chennai,3/3/2024 16:40,25,53,3.95,222,40,133.2,4,Card,0,287
200142,The Wok House,Italian,Kolkata,1/18/2024 19:53,25,64,3.72,668,15,567.8,1,Card,0,131
200143,PastaFiesta,North Indian,Mumbai,4/1/2024 13:21,25,51,13.25,611,5,580.45,5,Wallet,1,435
200144,South Spice,Japanese,Pune,3/10/2024 21:20,12,51,11.98,815,40,489,2,COD,1,760
200145,Urban Thali,Healthy,Chennai,3/16/2024 20:10,21,32,9.31,640,30,448,3,Wallet,1,598
200146,Tandoori Palace,Japanese,Pune,2/21/2024 7:42,19,33,4.34,132,30,92.4,2,Card,0,789
200147,GrillMaster,Italian,Pune,4/9/2024 22:48,16,48,7.35,514,5,488.3,3,Card,0,122
200148,HealthyBowl,South Indian,Kolkata,4/13/2024 18:45,42,66,7.13,363,10,326.7,1,COD,1,419
200149,SushiZone,Fast Food,Mumbai,4/25/2024 16:38,27,56,1.85,363,5,344.85,3,COD,0,799
200150,GrillMaster,Fast Food,Kolkata,3/1/2024 22:35,42,74,10.94,482,30,337.4,1,Wallet,0,868
200151,South Spice,North Indian,Delhi,2/22/2024 14:48,38,59,10.06,287,15,243.95,2,Wallet,1,702
200152,GrillMaster,Healthy,Delhi,1/21/2024 7:33,16,44,12.54,577,30,403.9,2,COD,0,219
200153,ChowTown,Healthy,Kolkata,4/23/2024 9:55,28,55,1.28,208,40,124.8,1,Wallet,1,647
200154,WrapWorld,South Indian,Kolkata,1/23/2024 16:15,19,42,6.63,218,15,185.3,3,UPI,0,992
200155,BurgerVilla,Biryani,Kolkata,1/4/2024 23:00,19,39,12.73,404,40,242.4,1,Wallet,1,700
200156,Biryani Express,Healthy,Chennai,3/2/2024 15:03,15,27,12.64,131,20,104.8,4,Wallet,0,193
200157,The Wok House,Chinese,Mumbai,2/23/2024 0:59,14,44,14.27,334,20,267.2,5,UPI,1,180
200158,The Wok House,Italian,Delhi,4/19/2024 15:08,30,48,13.93,425,10,382.5,2,UPI,1,374
200159,HealthyBowl,Italian,Kolkata,2/18/2024 4:35,18,39,12.35,522,0,522,3,Wallet,1,661
200160,HealthyBowl,Italian,Hyderabad,4/22/2024 9:36,18,40,9.67,385,10,346.5,2,Wallet,1,790
200161,SushiZone,Italian,Mumbai,3/26/2024 15:09,39,74,3.91,642,40,385.2,1,UPI,1,146
200162,Café Aroma,Healthy,Delhi,4/16/2024 18:27,27,57,11.76,419,5,398.05,3,Card,1,476
200163,BurgerVilla,Healthy,Kolkata,2/27/2024 12:19,35,68,1.27,432,30,302.4,3,UPI,0,828
200164,PizzaBox,Healthy,Pune,1/20/2024 18:10,23,36,3.58,560,20,448,3,Card,1,129
200165,ChowTown,Chinese,Hyderabad,4/8/2024 4:54,41,62,9.13,176,5,167.2,4,Card,0,202
200166,ChowTown,Italian,Pune,4/21/2024 7:59,43,64,14.71,138,0,138,5,Wallet,0,611
200167,BurgerVilla,Healthy,Mumbai,3/25/2024 17:33,39,75,1.23,568,5,539.6,5,COD,0,791
200168,SpiceHub,South Indian,Mumbai,4/15/2024 21:44,28,60,7.14,324,10,291.6,1,COD,0,744
200169,Café Aroma,Healthy,Mumbai,3/29/2024 12:05,31,42,14.89,893,15,759.05,4,UPI,1,244
200170,South Spice,South Indian,Bangalore,4/7/2024 23:54,42,80,10.63,730,15,620.5,3,Card,0,452
200171,Tandoori Palace,Biryani,Chennai,3/17/2024 0:47,17,35,6.26,786,30,550.2,5,Card,0,634
200172,South Spice,Healthy,Delhi,2/26/2024 21:15,34,52,12.74,455,10,409.5,5,Card,0,833
200173,The Wok House,Japanese,Kolkata,4/9/2024 8:10,18,57,11.85,536,15,455.6,5,Wallet,0,528
200174,Tandoori Palace,Italian,Mumbai,1/23/2024 9:35,31,63,1.29,821,0,821,4,COD,1,921
200175,Café Aroma,South Indian,Delhi,3/25/2024 7:24,45,72,3.88,346,30,242.2,5,Card,0,460
200176,PastaFiesta,North Indian,Mumbai,1/24/2024 23:17,22,52,4.89,382,10,343.8,5,Card,1,709
200177,GrillMaster,Biryani,Delhi,3/14/2024 12:25,33,60,1.82,595,0,595,4,UPI,0,770
200178,South Spice,South Indian,Delhi,2/27/2024 7:15,40,58,6.41,450,0,450,2,Wallet,1,771
200179,GrillMaster,Biryani,Mumbai,2/5/2024 4:36,33,52,4.27,453,15,385.05,5,Wallet,1,649
200180,Biryani Express,Fast Food,Delhi,4/16/2024 18:04,36,48,6.02,306,30,214.2,2,COD,0,178
200181,Urban Thali,Chinese,Bangalore,3/20/2024 16:36,32,43,3.22,307,0,307,4,Wallet,1,544
200182,South Spice,South Indian,Hyderabad,4/20/2024 20:04,14,54,5.45,836,30,585.2,4,COD,0,701
200183,The Wok House,Japanese,Delhi,1/23/2024 8:48,22,56,4.42,221,0,221,4,Wallet,0,874
200184,SushiZone,Healthy,Mumbai,2/9/2024 15:31,33,56,8.36,325,40,195,2,UPI,0,527
200185,Café Aroma,Fast Food,Bangalore,1/19/2024 12:55,28,61,5.54,840,10,756,5,UPI,1,544
200186,BurgerVilla,North Indian,Mumbai,4/26/2024 10:38,38,62,11.7,349,15,296.65,5,Card,0,480
200187,PastaFiesta,Biryani,Chennai,3/20/2024 16:33,10,36,8.92,649,40,389.4,2,Card,0,351
200188,Biryani Express,Fast Food,Pune,1/15/2024 7:11,26,47,2.14,819,10,737.1,3,Wallet,1,194
200189,SpiceHub,Healthy,Pune,3/20/2024 21:15,12,48,9.06,745,30,521.5,4,Card,1,382
200190,PastaFiesta,Italian,Kolkata,3/16/2024 10:33,19,35,10.26,897,15,762.45,3,Wallet,1,613
200191,South Spice,Healthy,Chennai,4/25/2024 22:44,37,62,2.79,858,30,600.6,2,COD,0,212
200192,HealthyBowl,Healthy,Bangalore,2/8/2024 21:01,21,58,1.41,329,15,279.65,1,UPI,0,172
200193,SpiceHub,Healthy,Kolkata,2/23/2024 2:57,16,39,6.63,570,5,541.5,3,Card,0,126
200194,WrapWorld,North Indian,Hyderabad,1/11/2024 8:45,44,78,10.27,307,20,245.6,5,UPI,0,929
200195,Café Aroma,Healthy,Bangalore,1/25/2024 1:21,27,62,6.54,451,30,315.7,5,COD,1,748
200196,SushiZone,North Indian,Delhi,3/5/2024 1:09,20,30,6.28,891,15,757.35,2,COD,0,475
200197,GrillMaster,Healthy,Delhi,3/1/2024 9:41,27,62,8.76,282,5,267.9,1,UPI,0,765
200198,Biryani Express,Biryani,Bangalore,3/7/2024 16:51,12,50,0.89,363,20,290.4,4,UPI,0,951
200199,The Wok House,South Indian,Bangalore,2/27/2024 14:48,45,65,11.63,187,30,130.9,1,Wallet,1,393
200200,ChowTown,Chinese,Kolkata,3/25/2024 16:18,10,48,8.85,294,10,264.6,1,UPI,0,609
200201,GrillMaster,Chinese,Mumbai,4/9/2024 23:31,29,52,9.47,736,10,662.4,5,COD,1,476
200202,BurgerVilla,Italian,Kolkata,2/19/2024 10:11,40,75,8.41,626,0,626,1,Card,1,793
200203,BurgerVilla,Healthy,Hyderabad,1/31/2024 3:42,41,60,10.97,121,40,72.6,3,COD,1,382
200204,Biryani Express,South Indian,Bangalore,2/21/2024 18:18,11,34,14.14,181,20,144.8,4,Wallet,0,918
200205,Tandoori Palace,Healthy,Bangalore,2/25/2024 23:11,36,73,5.05,359,15,305.15,3,Wallet,1,396
200206,BurgerVilla,North Indian,Pune,2/6/2024 6:52,19,40,4.92,724,5,687.8,1,Card,1,141
200207,Café Aroma,Chinese,Delhi,4/22/2024 6:08,15,45,12.7,147,0,147,3,UPI,0,339
200208,The Wok House,North Indian,Mumbai,1/16/2024 0:08,22,61,10.99,653,40,391.8,1,UPI,0,599
200209,SpiceHub,Biryani,Mumbai,3/23/2024 1:16,36,57,1.9,777,30,543.9,3,UPI,1,124
200210,SushiZone,North Indian,Hyderabad,1/7/2024 3:23,28,61,5.14,358,10,322.2,1,UPI,0,744
200211,WrapWorld,Italian,Delhi,4/28/2024 20:52,25,46,6.24,339,5,322.05,2,Card,1,853
200212,WrapWorld,Biryani,Kolkata,1/17/2024 2:44,42,68,14.61,811,5,770.45,5,Wallet,0,450
200213,HealthyBowl,North Indian,Chennai,1/13/2024 23:51,33,43,6.57,288,0,288,3,Card,1,668
200214,ChowTown,Fast Food,Bangalore,4/8/2024 19:27,40,67,5.15,293,0,293,3,COD,0,468
200215,SpiceHub,Italian,Delhi,3/20/2024 12:48,18,29,3.93,620,20,496,1,UPI,1,128
200216,SushiZone,Fast Food,Mumbai,3/17/2024 23:51,19,40,5.22,710,0,710,2,COD,0,512
200217,Café Aroma,Healthy,Pune,1/17/2024 10:14,35,74,6.78,704,5,668.8,1,Wallet,1,730
200218,WrapWorld,Chinese,Mumbai,4/4/2024 18:27,43,75,12.71,534,40,320.4,3,Wallet,0,650
200219,South Spice,Healthy,Bangalore,1/28/2024 8:06,41,75,9.34,740,30,518,3,UPI,0,543
200220,BurgerVilla,Japanese,Chennai,3/24/2024 5:22,14,46,6.89,703,10,632.7,2,UPI,0,894
200221,ChowTown,Biryani,Hyderabad,1/19/2024 8:59,28,61,2.13,841,5,798.95,4,Card,1,764
200222,WrapWorld,Italian,Pune,1/22/2024 14:09,24,51,7,455,5,432.25,2,Wallet,1,540
200223,The Wok House,Healthy,Hyderabad,1/8/2024 6:41,25,39,8.9,769,30,538.3,2,Card,0,326
200224,The Wok House,Fast Food,Kolkata,1/11/2024 20:30,23,41,2.69,752,20,601.6,4,COD,0,484
200225,HealthyBowl,Italian,Bangalore,2/8/2024 4:38,40,53,12.01,638,10,574.2,4,Card,1,882
200226,Biryani Express,Fast Food,Mumbai,1/29/2024 15:39,15,42,6.27,737,40,442.2,2,UPI,1,677
200227,PastaFiesta,Italian,Mumbai,2/5/2024 20:28,14,30,7.28,223,5,211.85,3,Wallet,1,170
200228,BurgerVilla,North Indian,Mumbai,3/15/2024 16:42,21,39,6.93,705,5,669.75,2,Wallet,1,257
200229,SpiceHub,Chinese,Bangalore,1/18/2024 15:56,16,39,8.9,447,20,357.6,4,Wallet,0,164
200230,Urban Thali,Biryani,Kolkata,1/30/2024 12:23,43,57,8.86,605,10,544.5,3,COD,1,471
200231,Biryani Express,Fast Food,Kolkata,3/7/2024 12:24,33,48,12.66,122,5,115.9,3,COD,1,490
200232,ChowTown,Italian,Mumbai,4/16/2024 1:47,15,34,8,174,5,165.3,3,UPI,1,736
200233,WrapWorld,Chinese,Hyderabad,3/8/2024 9:02,18,44,10.58,331,10,297.9,4,COD,0,107
200234,SushiZone,Healthy,Delhi,4/28/2024 7:33,24,53,4.8,616,30,431.2,1,Card,1,833
200235,Tandoori Palace,Fast Food,Pune,2/20/2024 13:23,32,69,2.64,389,15,330.65,2,UPI,1,982
200236,WrapWorld,Biryani,Delhi,3/13/2024 5:44,17,30,0.79,544,0,544,5,UPI,0,775
200237,The Wok House,South Indian,Delhi,3/4/2024 23:09,44,83,5.31,862,10,775.8,3,Wallet,0,417
200238,BurgerVilla,Healthy,Hyderabad,2/25/2024 15:17,10,44,6.22,436,10,392.4,5,Card,1,107
200239,ChowTown,Chinese,Hyderabad,2/12/2024 0:32,44,75,1.06,592,15,503.2,3,Card,1,460
200240,Tandoori Palace,North Indian,Hyderabad,2/28/2024 18:48,34,49,10.68,746,10,671.4,2,COD,0,745
200241,Café Aroma,Italian,Kolkata,3/25/2024 15:41,36,65,9.99,641,5,608.95,1,UPI,1,254
200242,Café Aroma,South Indian,Bangalore,4/14/2024 13:35,38,77,4.21,536,40,321.6,2,COD,0,442
